expiry_gap_hours,food_category,quantity_kg,storage_temp_c,donor_type,preparation_method,distance_to_ngo_km,donation_frequency,time_of_day,ambient_humidity,packaging_integrity,seasonal_indicator,urgency_class,food_category_enc,donor_type_enc,prep_method_enc,seasonal_enc,urgency_enc
39.59,Cooked Meals,34.9,7.6,event,packaged,28.1,19,15.4,83.0,0.4,monsoon,Low,3,1,2,0,2
24.25,Cooked Meals,23.6,5.0,corporate,packaged,4.9,18,2.2,35.2,0.66,spring,Moderate,3,0,2,1,3
35.9,Cooked Meals,41.1,6.1,restaurant,frozen,2.8,17,8.1,71.0,0.72,monsoon,Moderate,3,3,1,0,3
59.82,Cooked Meals,35.9,4.0,event,frozen,10.0,9,19.1,55.8,0.7,spring,Low,3,1,1,1,2
35.65,Cooked Meals,41.2,4.9,household,raw,16.3,5,18.3,65.6,0.92,summer,Moderate,3,2,4,2,3
59.88,Cooked Meals,15.5,4.4,restaurant,cooked,7.6,17,1.8,72.8,0.32,winter,Low,3,3,0,3,2
62.58,Cooked Meals,35.0,3.8,supermarket,packaged,29.0,13,17.8,45.4,0.87,winter,Low,3,4,2,3,2
69.84,Cooked Meals,43.8,2.1,supermarket,processed,24.3,10,22.0,54.3,0.72,summer,Low,3,4,3,2,2
32.94,Cooked Meals,13.8,6.2,restaurant,raw,2.7,19,14.1,40.9,0.93,spring,Moderate,3,3,4,1,3
28.4,Cooked Meals,13.3,6.3,supermarket,raw,11.7,6,21.9,33.0,0.87,winter,Moderate,3,4,4,3,3
3.08,Cooked Meals,21.9,7.3,event,cooked,3.8,13,23.4,55.0,0.86,monsoon,High,3,1,0,0,1
61.08,Cooked Meals,36.5,3.2,restaurant,packaged,3.1,18,22.1,51.4,0.74,spring,Low,3,3,2,1,2
40.02,Cooked Meals,38.0,4.4,corporate,frozen,15.9,6,0.4,43.3,0.99,spring,Low,3,0,1,1,2
8.04,Cooked Meals,36.2,5.3,restaurant,raw,22.8,2,6.1,46.5,0.95,winter,High,3,3,4,3,1
66.63,Cooked Meals,44.7,7.4,restaurant,cooked,29.1,7,11.7,42.8,0.53,spring,Low,3,3,0,1,2
44.71,Cooked Meals,10.0,7.5,event,packaged,29.5,15,15.1,89.4,0.76,summer,Low,3,1,2,2,2
13.13,Cooked Meals,39.9,3.0,corporate,processed,25.3,11,23.6,61.2,0.4,spring,High,3,0,3,1,1
50.39,Cooked Meals,38.6,4.2,supermarket,cooked,8.7,14,5.0,44.6,0.99,monsoon,Low,3,4,0,0,2
27.05,Cooked Meals,12.8,5.5,event,frozen,23.3,19,8.6,75.0,0.9,spring,Moderate,3,1,1,1,3
43.4,Cooked Meals,20.4,7.7,corporate,processed,22.9,5,5.3,82.9,0.87,winter,Low,3,0,3,3,2
69.27,Cooked Meals,26.3,2.1,household,cooked,4.1,14,9.4,34.0,0.51,summer,Low,3,2,0,2,2
56.7,Cooked Meals,20.3,4.1,supermarket,packaged,21.0,5,17.5,54.6,0.46,spring,Low,3,4,2,1,2
1.01,Cooked Meals,42.6,7.3,household,cooked,29.0,2,23.0,72.7,0.74,spring,Critical,3,2,0,1,0
6.68,Cooked Meals,24.5,5.5,event,cooked,13.0,3,23.1,54.5,0.9,monsoon,High,3,1,0,0,1
8.8,Cooked Meals,1.3,6.2,corporate,frozen,24.0,7,17.7,40.9,0.83,spring,High,3,0,1,1,1
20.51,Cooked Meals,23.6,3.3,event,packaged,19.0,4,11.9,69.6,0.87,winter,High,3,1,2,3,1
42.93,Cooked Meals,23.1,6.1,restaurant,cooked,12.5,2,11.8,54.5,0.98,monsoon,Low,3,3,0,0,2
63.58,Cooked Meals,22.1,5.5,household,raw,26.0,10,6.5,79.6,0.51,summer,Low,3,2,4,2,2
45.75,Cooked Meals,32.1,3.6,event,raw,2.5,16,13.5,71.8,0.9,spring,Low,3,1,4,1,2
68.64,Cooked Meals,40.0,2.5,household,frozen,10.6,13,11.0,48.7,0.5,spring,Low,3,2,1,1,2
2.06,Cooked Meals,35.0,7.3,corporate,frozen,1.7,10,16.0,75.6,0.36,monsoon,High,3,0,1,0,1
48.65,Cooked Meals,3.6,5.3,supermarket,raw,9.8,16,17.1,56.6,0.44,spring,Low,3,4,4,1,2
68.45,Cooked Meals,32.0,4.3,supermarket,cooked,25.9,6,8.8,70.5,0.45,spring,Low,3,4,0,1,2
63.56,Cooked Meals,35.0,6.1,event,raw,24.1,10,15.2,31.0,0.53,summer,Low,3,1,4,2,2
30.4,Cooked Meals,5.0,2.9,household,packaged,10.0,9,1.4,74.3,0.84,spring,Moderate,3,2,2,1,3
55.2,Cooked Meals,17.5,6.8,corporate,processed,8.2,18,4.7,42.2,0.73,winter,Low,3,0,3,3,2
45.37,Cooked Meals,6.6,2.0,corporate,packaged,9.7,5,13.6,85.7,0.76,summer,Low,3,0,2,2,2
53.03,Cooked Meals,7.1,6.0,corporate,processed,18.7,18,1.6,68.7,0.65,monsoon,Low,3,0,3,0,2
52.26,Cooked Meals,15.1,6.8,event,cooked,4.5,8,17.2,54.5,0.46,monsoon,Low,3,1,0,0,2
10.95,Cooked Meals,11.6,4.4,event,processed,24.2,17,9.9,71.1,0.97,spring,High,3,1,3,1,1
5.41,Cooked Meals,17.0,2.1,corporate,processed,18.3,16,16.1,32.3,0.77,summer,High,3,0,3,2,1
51.01,Cooked Meals,25.2,2.8,corporate,packaged,7.1,16,20.1,38.3,0.34,monsoon,Low,3,0,2,0,2
62.08,Cooked Meals,47.0,7.0,event,packaged,26.8,16,12.4,45.1,0.76,monsoon,Low,3,1,2,0,2
2.94,Cooked Meals,48.9,3.0,event,cooked,3.2,14,5.7,64.5,0.56,spring,High,3,1,0,1,1
21.06,Cooked Meals,44.2,7.7,supermarket,processed,10.4,5,17.9,64.6,0.72,winter,High,3,4,3,3,1
2.18,Cooked Meals,35.4,4.7,restaurant,frozen,8.2,19,20.0,83.7,0.51,monsoon,High,3,3,1,0,1
22.72,Cooked Meals,48.1,7.2,household,processed,6.2,14,10.1,38.3,0.95,winter,High,3,2,3,3,1
42.24,Cooked Meals,48.5,7.5,supermarket,raw,21.3,4,21.8,53.5,0.48,winter,Low,3,4,4,3,2
40.17,Cooked Meals,19.8,4.9,event,frozen,15.2,14,14.8,70.9,0.55,summer,Low,3,1,1,2,2
15.87,Cooked Meals,11.3,5.0,restaurant,processed,8.4,4,4.7,67.8,0.37,monsoon,High,3,3,3,0,1
29.21,Cooked Meals,45.3,5.4,household,cooked,8.6,13,16.7,32.9,0.38,summer,Moderate,3,2,0,2,3
1.37,Cooked Meals,44.6,6.8,supermarket,processed,12.2,7,11.0,49.8,0.33,spring,Critical,3,4,3,1,0
30.09,Cooked Meals,17.7,2.6,supermarket,processed,18.4,4,22.7,83.5,0.47,summer,Moderate,3,4,3,2,3
25.93,Cooked Meals,48.7,7.0,restaurant,packaged,14.7,15,11.1,46.1,0.38,winter,Moderate,3,3,2,3,3
50.68,Cooked Meals,28.5,3.5,event,cooked,11.2,18,21.7,45.6,0.54,winter,Low,3,1,0,3,2
42.37,Cooked Meals,40.8,6.2,restaurant,frozen,8.3,8,11.2,54.4,0.41,spring,Low,3,3,1,1,2
7.61,Cooked Meals,1.1,3.7,restaurant,frozen,18.6,15,23.7,61.9,0.33,spring,High,3,3,1,1,1
29.9,Cooked Meals,24.2,7.9,household,frozen,29.7,5,2.4,83.6,0.44,summer,Moderate,3,2,1,2,3
12.44,Cooked Meals,35.7,5.9,restaurant,frozen,29.4,4,23.2,55.7,0.62,spring,High,3,3,1,1,1
71.45,Cooked Meals,26.8,5.8,supermarket,processed,18.7,5,1.6,68.0,0.69,spring,Low,3,4,3,1,2
15.79,Cooked Meals,2.1,7.6,household,frozen,27.7,8,11.2,41.6,0.78,winter,High,3,2,1,3,1
71.72,Cooked Meals,28.8,2.4,supermarket,processed,13.3,14,13.6,66.5,0.72,monsoon,Low,3,4,3,0,2
44.72,Cooked Meals,41.4,3.8,corporate,frozen,1.1,3,7.6,72.8,0.66,monsoon,Low,3,0,1,0,2
36.52,Cooked Meals,14.0,4.4,event,raw,11.5,7,15.9,54.8,0.98,spring,Low,3,1,4,1,2
27.12,Cooked Meals,36.9,3.1,restaurant,raw,9.8,18,22.9,89.5,0.79,winter,Moderate,3,3,4,3,3
52.02,Cooked Meals,31.1,4.6,household,raw,11.9,8,14.1,65.2,0.82,spring,Low,3,2,4,1,2
20.2,Cooked Meals,37.0,2.1,event,processed,16.6,19,14.6,41.9,0.65,spring,High,3,1,3,1,1
32.64,Cooked Meals,39.4,6.1,event,frozen,27.5,9,0.1,51.5,0.73,monsoon,Moderate,3,1,1,0,3
5.63,Cooked Meals,38.8,7.4,corporate,processed,2.5,6,0.9,44.8,0.75,winter,High,3,0,3,3,1
18.76,Cooked Meals,40.1,4.2,supermarket,processed,15.9,11,4.6,63.9,0.39,spring,High,3,4,3,1,1
30.0,Cooked Meals,32.2,3.9,restaurant,packaged,29.5,11,12.5,36.5,0.86,winter,Moderate,3,3,2,3,3
14.57,Cooked Meals,40.5,4.7,restaurant,processed,2.0,17,17.8,51.7,0.69,winter,High,3,3,3,3,1
35.34,Cooked Meals,46.5,6.8,household,cooked,2.2,10,23.0,41.4,0.67,summer,Moderate,3,2,0,2,3
68.84,Cooked Meals,31.2,4.4,household,packaged,7.0,17,10.2,64.0,0.88,spring,Low,3,2,2,1,2
39.54,Cooked Meals,47.8,2.3,corporate,raw,24.7,3,11.6,38.2,0.77,spring,Low,3,0,4,1,2
1.3,Cooked Meals,45.2,2.9,supermarket,processed,17.0,16,17.1,60.4,0.82,monsoon,Critical,3,4,3,0,0
62.74,Cooked Meals,44.7,6.4,event,processed,13.8,12,20.8,50.2,0.99,monsoon,Low,3,1,3,0,2
1.54,Cooked Meals,37.2,5.5,supermarket,frozen,22.4,9,15.5,85.2,0.31,winter,Critical,3,4,1,3,0
7.9,Cooked Meals,17.3,7.8,corporate,frozen,29.3,1,10.3,50.5,0.6,monsoon,High,3,0,1,0,1
11.87,Cooked Meals,15.3,5.1,corporate,frozen,12.0,8,2.8,54.4,0.74,spring,High,3,0,1,1,1
64.93,Cooked Meals,45.7,5.2,restaurant,frozen,13.6,12,19.7,42.7,0.98,spring,Low,3,3,1,1,2
68.72,Cooked Meals,11.9,6.6,restaurant,processed,15.9,16,2.2,31.2,0.99,spring,Low,3,3,3,1,2
41.8,Cooked Meals,31.4,2.7,household,cooked,10.9,4,23.1,45.9,0.69,monsoon,Low,3,2,0,0,2
37.58,Cooked Meals,5.5,4.8,corporate,packaged,21.9,9,21.0,40.5,0.62,spring,Low,3,0,2,1,2
37.43,Cooked Meals,6.3,2.1,household,processed,28.7,12,14.5,73.5,0.92,monsoon,Low,3,2,3,0,2
17.73,Cooked Meals,5.8,5.0,event,processed,27.0,5,17.6,57.6,0.99,winter,High,3,1,3,3,1
5.23,Cooked Meals,45.7,2.3,supermarket,packaged,25.5,16,10.8,57.3,0.65,winter,High,3,4,2,3,1
40.99,Cooked Meals,0.7,5.1,restaurant,frozen,24.6,8,15.4,31.5,0.95,winter,Low,3,3,1,3,2
38.48,Cooked Meals,17.6,7.4,supermarket,raw,1.7,15,18.9,72.1,0.93,monsoon,Low,3,4,4,0,2
29.99,Cooked Meals,29.0,4.7,supermarket,cooked,23.1,8,22.8,87.4,0.32,summer,Moderate,3,4,0,2,3
69.82,Cooked Meals,37.4,2.5,restaurant,processed,21.7,13,18.3,69.4,0.86,summer,Low,3,3,3,2,2
9.08,Cooked Meals,45.0,7.5,supermarket,packaged,15.0,19,1.2,33.5,0.7,winter,High,3,4,2,3,1
7.48,Cooked Meals,42.6,3.2,corporate,cooked,24.6,4,15.8,73.7,0.39,summer,High,3,0,0,2,1
57.28,Cooked Meals,47.0,4.7,supermarket,raw,3.1,7,23.8,54.6,0.57,summer,Low,3,4,4,2,2
30.5,Cooked Meals,33.9,5.6,event,processed,14.4,6,21.9,35.7,0.62,summer,Moderate,3,1,3,2,3
7.8,Cooked Meals,4.8,3.0,event,processed,28.1,12,9.1,58.6,0.85,spring,High,3,1,3,1,1
26.71,Cooked Meals,43.5,6.4,supermarket,raw,26.7,15,10.5,71.1,0.61,summer,Moderate,3,4,4,2,3
0.82,Cooked Meals,20.3,6.0,event,cooked,3.0,6,8.4,73.1,0.69,spring,Critical,3,1,0,1,0
51.57,Cooked Meals,44.3,7.1,corporate,cooked,9.6,12,0.3,39.9,0.81,monsoon,Low,3,0,0,0,2
46.46,Cooked Meals,30.9,3.0,corporate,raw,11.2,17,18.3,48.9,1.0,spring,Low,3,0,4,1,2
13.08,Cooked Meals,48.2,6.1,household,cooked,29.8,7,18.7,49.7,0.89,winter,High,3,2,0,3,1
25.64,Cooked Meals,30.8,7.7,event,raw,18.5,14,11.9,80.7,0.83,monsoon,Moderate,3,1,4,0,3
61.38,Cooked Meals,34.9,7.8,event,cooked,21.0,18,13.9,85.8,0.87,spring,Low,3,1,0,1,2
55.51,Cooked Meals,1.4,7.1,supermarket,processed,8.6,4,0.2,57.1,0.83,monsoon,Low,3,4,3,0,2
55.56,Cooked Meals,4.8,3.6,corporate,packaged,18.2,8,19.0,87.0,0.46,spring,Low,3,0,2,1,2
36.0,Cooked Meals,29.8,2.1,restaurant,packaged,16.1,16,17.0,76.4,0.9,winter,Low,3,3,2,3,2
27.78,Cooked Meals,3.3,4.5,restaurant,packaged,6.3,11,3.2,71.3,0.32,winter,Moderate,3,3,2,3,3
17.83,Cooked Meals,2.8,4.7,supermarket,packaged,18.6,9,1.4,31.2,0.49,spring,High,3,4,2,1,1
8.82,Cooked Meals,26.3,6.7,household,frozen,24.1,16,23.5,86.8,0.99,spring,High,3,2,1,1,1
48.94,Cooked Meals,49.3,3.4,restaurant,frozen,25.4,15,17.6,44.9,0.44,spring,Low,3,3,1,1,2
22.26,Cooked Meals,43.0,7.3,restaurant,raw,14.4,14,14.9,60.2,0.83,spring,High,3,3,4,1,1
22.88,Cooked Meals,20.8,6.7,restaurant,packaged,4.4,13,16.1,65.1,0.84,monsoon,High,3,3,2,0,1
17.01,Cooked Meals,12.6,6.3,supermarket,cooked,10.3,7,21.9,85.7,0.65,monsoon,High,3,4,0,0,1
61.85,Cooked Meals,38.9,2.6,event,raw,5.8,15,4.2,53.4,0.66,spring,Low,3,1,4,1,2
19.82,Cooked Meals,21.0,2.6,corporate,cooked,21.7,10,2.6,46.0,0.82,monsoon,High,3,0,0,0,1
53.29,Cooked Meals,21.3,6.1,corporate,cooked,1.2,13,4.8,52.4,0.79,summer,Low,3,0,0,2,2
23.47,Cooked Meals,48.7,6.5,supermarket,raw,24.4,4,23.2,32.4,0.42,winter,High,3,4,4,3,1
54.05,Cooked Meals,39.0,4.1,supermarket,cooked,24.9,16,16.7,83.7,0.42,spring,Low,3,4,0,1,2
6.03,Cooked Meals,41.4,6.6,event,raw,18.5,8,2.6,88.4,0.46,spring,High,3,1,4,1,1
39.44,Cooked Meals,45.1,5.4,event,packaged,14.6,1,23.8,46.2,0.56,monsoon,Low,3,1,2,0,2
44.23,Cooked Meals,22.2,6.6,household,packaged,12.1,16,10.6,36.5,0.91,winter,Low,3,2,2,3,2
55.73,Cooked Meals,0.6,5.3,event,processed,27.5,12,1.3,37.4,0.3,winter,Low,3,1,3,3,2
2.86,Cooked Meals,14.4,3.1,restaurant,raw,23.8,18,18.8,71.6,0.82,monsoon,High,3,3,4,0,1
61.6,Cooked Meals,40.5,2.8,event,cooked,3.6,3,23.0,72.3,0.78,summer,Low,3,1,0,2,2
46.78,Cooked Meals,29.6,4.4,event,cooked,3.8,14,4.3,46.5,0.35,winter,Low,3,1,0,3,2
52.0,Cooked Meals,45.2,4.6,event,processed,9.9,2,13.3,85.2,0.99,summer,Low,3,1,3,2,2
61.01,Cooked Meals,47.2,2.6,household,processed,5.0,10,1.7,64.0,0.52,spring,Low,3,2,3,1,2
64.66,Cooked Meals,7.5,6.8,event,packaged,3.5,7,9.0,35.7,0.52,spring,Low,3,1,2,1,2
36.78,Cooked Meals,4.6,7.1,household,frozen,15.2,19,11.4,52.9,0.92,monsoon,Low,3,2,1,0,2
6.69,Cooked Meals,20.6,3.3,corporate,frozen,26.5,10,3.6,41.7,0.38,summer,High,3,0,1,2,1
42.41,Cooked Meals,11.6,6.7,corporate,raw,27.5,12,14.5,56.0,0.91,summer,Low,3,0,4,2,2
69.16,Cooked Meals,16.2,6.0,event,packaged,1.0,4,21.4,45.8,0.77,summer,Low,3,1,2,2,2
7.37,Cooked Meals,5.6,6.1,restaurant,cooked,11.4,2,11.7,66.8,0.63,winter,High,3,3,0,3,1
19.99,Cooked Meals,14.5,3.8,event,packaged,2.5,8,17.3,39.1,0.4,winter,High,3,1,2,3,1
41.93,Cooked Meals,31.1,7.4,restaurant,raw,16.9,13,16.1,55.1,0.38,summer,Low,3,3,4,2,2
37.62,Cooked Meals,17.5,5.0,household,cooked,7.0,10,16.3,43.9,0.94,monsoon,Low,3,2,0,0,2
27.36,Cooked Meals,33.0,2.2,corporate,frozen,20.7,6,13.1,79.8,0.81,summer,Moderate,3,0,1,2,3
60.27,Cooked Meals,1.2,3.7,corporate,raw,27.8,12,19.3,70.0,0.9,winter,Low,3,0,4,3,2
31.64,Cooked Meals,9.0,7.0,household,packaged,8.6,12,3.1,59.9,0.57,monsoon,Moderate,3,2,2,0,3
49.4,Cooked Meals,16.5,4.7,corporate,cooked,28.1,18,17.2,47.1,0.37,spring,Low,3,0,0,1,2
6.45,Cooked Meals,36.0,4.8,corporate,raw,21.8,5,7.1,38.3,0.88,spring,High,3,0,4,1,1
13.05,Cooked Meals,25.8,6.1,supermarket,cooked,7.8,1,7.1,49.7,0.57,summer,High,3,4,0,2,1
42.89,Cooked Meals,22.6,4.2,supermarket,packaged,9.9,13,16.2,42.0,0.47,summer,Low,3,4,2,2,2
31.55,Cooked Meals,39.5,5.0,restaurant,processed,25.0,11,5.4,54.6,0.8,spring,Moderate,3,3,3,1,3
37.54,Cooked Meals,19.6,6.4,restaurant,raw,28.6,17,5.7,42.8,0.76,spring,Low,3,3,4,1,2
19.12,Cooked Meals,47.3,3.1,supermarket,processed,2.8,1,10.2,56.6,0.66,summer,High,3,4,3,2,1
50.74,Cooked Meals,36.4,7.7,event,cooked,18.4,4,12.0,61.6,0.84,summer,Low,3,1,0,2,2
47.83,Cooked Meals,4.2,2.1,corporate,cooked,1.9,16,18.3,40.3,0.33,monsoon,Low,3,0,0,0,2
61.81,Cooked Meals,34.0,6.5,corporate,cooked,24.9,5,11.5,68.7,0.63,summer,Low,3,0,0,2,2
39.57,Cooked Meals,38.3,4.5,corporate,processed,14.5,4,19.6,79.1,0.4,winter,Low,3,0,3,3,2
47.09,Cooked Meals,24.9,3.5,corporate,processed,25.1,2,17.1,69.6,0.64,monsoon,Low,3,0,3,0,2
17.72,Cooked Meals,26.0,8.0,corporate,packaged,16.7,19,14.9,59.0,0.89,summer,High,3,0,2,2,1
27.01,Cooked Meals,26.2,4.8,supermarket,processed,2.8,18,16.1,58.2,0.7,winter,Moderate,3,4,3,3,3
29.21,Cooked Meals,17.7,5.4,event,cooked,14.1,10,17.9,44.8,0.73,spring,Moderate,3,1,0,1,3
63.05,Cooked Meals,43.6,3.3,household,processed,18.2,5,6.9,86.5,0.44,monsoon,Low,3,2,3,0,2
43.87,Cooked Meals,7.3,7.2,restaurant,frozen,7.1,16,7.3,39.7,0.95,spring,Low,3,3,1,1,2
57.19,Cooked Meals,45.7,3.8,event,processed,2.4,5,7.9,76.8,0.66,summer,Low,3,1,3,2,2
6.16,Cooked Meals,21.2,4.9,household,processed,11.0,8,17.7,42.8,0.58,summer,High,3,2,3,2,1
36.29,Cooked Meals,14.4,7.3,corporate,processed,13.1,15,22.6,47.8,0.44,monsoon,Low,3,0,3,0,2
1.26,Cooked Meals,21.1,7.9,corporate,raw,12.9,12,8.2,55.1,0.42,summer,Critical,3,0,4,2,0
68.83,Cooked Meals,31.4,4.8,corporate,processed,14.7,17,10.5,87.7,0.65,winter,Low,3,0,3,3,2
24.18,Cooked Meals,23.2,2.6,restaurant,processed,19.6,11,0.4,70.6,0.38,spring,Moderate,3,3,3,1,3
25.31,Cooked Meals,38.5,5.4,supermarket,packaged,20.1,3,10.7,54.6,0.55,monsoon,Moderate,3,4,2,0,3
46.83,Cooked Meals,47.4,4.8,corporate,cooked,12.0,2,15.7,77.7,0.53,spring,Low,3,0,0,1,2
11.75,Cooked Meals,16.7,2.1,corporate,processed,1.0,17,21.0,71.8,0.77,spring,High,3,0,3,1,1
27.69,Cooked Meals,13.3,6.8,corporate,frozen,5.8,17,16.9,76.2,0.3,winter,Moderate,3,0,1,3,3
61.51,Cooked Meals,4.4,3.3,supermarket,raw,1.4,11,7.1,63.5,0.4,summer,Low,3,4,4,2,2
70.11,Cooked Meals,49.3,4.8,corporate,processed,7.4,3,1.3,86.1,0.38,monsoon,Low,3,0,3,0,2
70.02,Cooked Meals,23.2,3.0,corporate,packaged,28.6,6,22.3,88.7,0.96,monsoon,Low,3,0,2,0,2
58.14,Cooked Meals,16.2,6.5,event,raw,15.8,18,12.9,42.3,0.62,spring,Low,3,1,4,1,2
45.41,Cooked Meals,39.6,4.6,restaurant,processed,1.5,18,3.7,65.9,0.52,spring,Low,3,3,3,1,2
46.71,Cooked Meals,18.6,5.5,supermarket,packaged,2.3,10,9.1,34.0,0.51,spring,Low,3,4,2,1,2
48.83,Cooked Meals,40.2,7.1,household,cooked,21.1,17,21.8,85.7,0.64,monsoon,Low,3,2,0,0,2
22.56,Cooked Meals,3.8,3.8,event,processed,9.4,9,3.7,73.5,0.39,summer,High,3,1,3,2,1
7.5,Cooked Meals,18.1,3.2,supermarket,cooked,14.8,6,22.8,39.3,0.92,spring,High,3,4,0,1,1
53.18,Cooked Meals,23.8,4.1,household,processed,10.0,9,22.5,40.2,0.6,monsoon,Low,3,2,3,0,2
43.14,Cooked Meals,37.1,2.3,event,packaged,8.1,4,7.1,32.1,0.37,monsoon,Low,3,1,2,0,2
21.02,Cooked Meals,31.0,2.5,event,frozen,2.5,19,10.6,87.9,0.96,winter,High,3,1,1,3,1
1.46,Cooked Meals,39.0,7.2,supermarket,packaged,25.5,12,2.7,33.3,0.64,spring,Critical,3,4,2,1,0
7.62,Cooked Meals,49.8,6.0,corporate,cooked,29.8,2,21.4,79.9,0.95,winter,High,3,0,0,3,1
33.41,Cooked Meals,33.9,4.4,event,processed,17.1,3,7.1,76.8,0.6,summer,Moderate,3,1,3,2,3
14.15,Cooked Meals,9.8,3.1,event,processed,24.6,3,20.7,87.2,0.51,summer,High,3,1,3,2,1
56.42,Cooked Meals,48.0,7.1,event,processed,11.2,15,15.0,54.1,0.41,monsoon,Low,3,1,3,0,2
3.52,Cooked Meals,43.4,7.6,restaurant,raw,27.1,2,11.1,78.5,0.69,monsoon,High,3,3,4,0,1
20.63,Cooked Meals,43.4,5.2,event,packaged,24.1,1,19.2,48.9,0.38,winter,High,3,1,2,3,1
20.2,Cooked Meals,15.8,4.9,household,cooked,2.0,10,21.9,89.5,0.64,summer,High,3,2,0,2,1
13.67,Cooked Meals,3.2,5.5,corporate,raw,28.6,13,13.4,89.8,0.73,monsoon,High,3,0,4,0,1
58.92,Cooked Meals,27.8,5.3,household,packaged,12.7,4,10.1,32.5,0.43,summer,Low,3,2,2,2,2
34.59,Cooked Meals,5.2,5.8,event,processed,1.0,3,8.7,52.9,0.89,summer,Moderate,3,1,3,2,3
29.05,Cooked Meals,39.3,5.3,supermarket,processed,22.4,12,19.2,76.6,0.45,winter,Moderate,3,4,3,3,3
63.65,Cooked Meals,28.6,6.9,supermarket,processed,10.3,1,10.9,69.4,1.0,monsoon,Low,3,4,3,0,2
51.01,Cooked Meals,8.0,2.5,event,packaged,13.0,8,14.7,34.5,0.67,summer,Low,3,1,2,2,2
50.43,Cooked Meals,43.5,3.7,event,processed,22.3,5,17.3,81.4,0.89,winter,Low,3,1,3,3,2
27.25,Cooked Meals,24.2,3.4,household,processed,6.7,16,5.5,71.7,0.48,spring,Moderate,3,2,3,1,3
16.55,Cooked Meals,10.2,2.6,restaurant,cooked,21.3,13,0.6,53.1,0.58,monsoon,High,3,3,0,0,1
8.45,Cooked Meals,27.3,7.7,supermarket,raw,11.1,9,16.4,64.5,0.34,winter,High,3,4,4,3,1
7.49,Cooked Meals,14.9,5.3,supermarket,frozen,28.6,15,10.6,49.0,0.44,winter,High,3,4,1,3,1
67.31,Cooked Meals,11.4,3.8,event,cooked,4.1,3,18.5,69.0,0.76,winter,Low,3,1,0,3,2
8.18,Cooked Meals,30.0,4.2,corporate,cooked,19.0,9,6.3,80.1,0.81,summer,High,3,0,0,2,1
68.37,Cooked Meals,3.1,4.6,restaurant,processed,15.4,19,10.7,40.7,0.47,monsoon,Low,3,3,3,0,2
64.44,Cooked Meals,12.5,2.2,corporate,cooked,23.6,19,13.1,65.2,0.61,winter,Low,3,0,0,3,2
41.95,Cooked Meals,46.9,2.3,supermarket,processed,24.4,8,16.3,47.9,0.62,summer,Low,3,4,3,2,2
32.77,Cooked Meals,8.2,6.2,restaurant,cooked,20.7,10,4.6,84.6,0.82,summer,Moderate,3,3,0,2,3
65.86,Cooked Meals,34.0,6.1,supermarket,cooked,25.9,9,1.1,67.0,0.53,winter,Low,3,4,0,3,2
33.75,Cooked Meals,24.5,6.9,household,frozen,3.0,4,5.9,70.1,0.97,summer,Moderate,3,2,1,2,3
30.92,Cooked Meals,10.6,3.3,event,raw,20.5,7,7.0,34.8,0.78,spring,Moderate,3,1,4,1,3
1.58,Cooked Meals,43.6,4.9,event,frozen,28.8,3,2.3,57.5,0.32,monsoon,Critical,3,1,1,0,0
33.46,Cooked Meals,7.4,7.0,event,frozen,9.6,13,23.7,50.3,0.5,winter,Moderate,3,1,1,3,3
39.38,Cooked Meals,22.7,2.8,supermarket,frozen,14.7,12,3.1,62.2,0.39,monsoon,Low,3,4,1,0,2
45.38,Cooked Meals,30.2,7.6,restaurant,packaged,11.5,17,8.0,85.0,0.98,summer,Low,3,3,2,2,2
57.22,Cooked Meals,12.7,2.6,household,raw,11.9,16,4.6,33.6,0.69,monsoon,Low,3,2,4,0,2
4.2,Cooked Meals,32.4,7.7,restaurant,processed,16.5,13,2.3,56.5,0.35,spring,High,3,3,3,1,1
27.08,Cooked Meals,31.1,5.9,event,cooked,21.2,12,17.9,39.2,0.94,winter,Moderate,3,1,0,3,3
59.98,Cooked Meals,49.0,5.8,household,raw,3.2,15,1.1,74.5,0.39,spring,Low,3,2,4,1,2
64.81,Cooked Meals,23.8,4.2,supermarket,raw,29.3,13,21.2,85.8,0.37,winter,Low,3,4,4,3,2
38.61,Cooked Meals,24.6,3.4,restaurant,frozen,13.7,3,16.5,77.7,0.34,winter,Low,3,3,1,3,2
58.06,Cooked Meals,28.4,5.2,restaurant,frozen,10.2,2,9.5,76.0,0.49,summer,Low,3,3,1,2,2
20.61,Cooked Meals,48.4,4.2,restaurant,frozen,16.9,19,10.5,52.4,0.65,summer,High,3,3,1,2,1
45.7,Cooked Meals,11.8,5.7,household,cooked,23.7,18,4.4,32.1,0.57,monsoon,Low,3,2,0,0,2
49.4,Cooked Meals,21.4,3.0,household,frozen,5.1,3,7.6,51.9,0.34,monsoon,Low,3,2,1,0,2
51.52,Cooked Meals,41.9,5.5,restaurant,cooked,17.5,15,1.0,67.9,0.68,winter,Low,3,3,0,3,2
59.58,Cooked Meals,43.7,6.9,household,processed,28.0,14,8.7,57.2,0.39,spring,Low,3,2,3,1,2
53.13,Cooked Meals,11.4,3.8,household,raw,23.1,10,4.0,35.2,0.45,winter,Low,3,2,4,3,2
69.72,Cooked Meals,5.7,2.1,event,frozen,26.2,10,3.4,72.6,0.88,monsoon,Low,3,1,1,0,2
